Entity,Code,%_Forest cover2020
Argentina,ARG,10.44071488
Chile,CHL,24.49215367
Uruguay,URY,4.559478917
Paraguay,PRY,40.52922225
Bolivia,BOL,46.92491461
Peru,PER,56.50810156
Ecuador,ECU,50.32142857
Venezuela,VEN,52.41301514
Colombia,COL,53.30501127
Suriname,SUR,97.41211538
French Guiana,FRA,96.64110615
Guyana,GUY,93.5501143
Brazil,BRA,59.41747805
