Year,Gallons,Latitude,Longitude,
1966,2000,14.5804,106.56879,
1966,2000,17.27361,105.79969,
1966,2000,17.06565,105.81759,
1966,2000,16.95653,105.96739,
1966,2000,17.11877,106.056751,
1966,1800,16.30123,106.68471,
1967,1800,16.30174,106.61921,
1967,1300,16.30534,106.62205,
1967,1800,16.2981,107.04023,
1967,2700,16.22679,106.93661,
1967,1000,16.57547,106.23726,
1967,1800,15.27682,107.06726,
1967,1800,15.44135,106.85461,
1967,2700,16.79426,105.87273,
1967,2100,16.91188,105.8451,
1967,2790,14.69619,107.31233,
1968,6000,14.77801,107.06897,
